Serial Number,Year,Title,Abstract,Primary Major Class,Secondary Major Class,Primary Major Score,Secondary Major Score,margin_12
56,2006,Device of micro vortex for ferrofluid power generator,"A ferrofluid power generator with micro vortex generator is disclosed, which is capable of generating an induced current by enabling a ferrofluid having a plurality of magnetic particles to flow in a closed circuit, the device comprising a vortex generator and a induced current unit. The vortex generator further comprises a first inlet, a first outlet and a plurality of cavities, which is capable of accelerating the rotation speed of the magnetic particles by virtue of employing the plural cavities to enable the magnetic particles to rotate while the ferrofluid passing through the plural cavities. The induced current unit is substantially a tube having a second inlet and a second outlet, where the second inlet is coupled to the first outlet of the vortex generator for accepting the ferrofluid with rotating magnetic particles to flow therein and through so as to induce a change of magnetic flux to occur and generate an induced current accordingly.",2,3,0.22499512135982513,0.2249900847673416,5.036592483520508e-06
58,2006,Device of micro vortex for ferrofluid power generator,"A ferrofluid power generator with micro vortex generator is disclosed, which is capable of generating an induced current by enabling a ferrofluid having a plurality of magnetic particles to flow in a closed circuit, the device comprising a vortex generator and a induced current unit. The vortex generator further comprises a first inlet, a first outlet and a plurality of cavities, which is capable of accelerating the rotation speed of the magnetic particles by virtue of employing the plural cavities to enable the magnetic particles to rotate while the ferrofluid passing through the plural cavities. The induced current unit is substantially a tube having a second inlet and a second outlet, where the second inlet is coupled to the first outlet of the vortex generator for accepting the ferrofluid with rotating magnetic particles to flow therein and through so as to induce a change of magnetic flux to occur and generate an induced current accordingly.",2,3,0.22499531507492065,0.22499027848243713,5.036592483520508e-06
90,1988,Low friction ferrofluid bearing arrangement,"A low friction bearing arrangement includes first and second poles of magnetically permeable material which define first and second pole surfaces which are spaced apart. The first and second poles also define first and second side surfaces, respectively, which are aligned. A quantity of ferrofluid, positioned intermediate the first and second pole surfaces and adjacent the first and second side surfaces, is held by means of a fringing magnetic flux between the first and second side surfaces at a level which extends beyond the side surfaces. A rotatable shaft of nonmagnetic material is supported on the quantity of ferrofluid and is held out of contact with the side surfaces thereby, such that the shaft may be freely rotated.",2,1,0.28593769669532776,0.2859257757663727,1.1920928955078125e-05
941,2017,DEVICES AND METHODS FOR SEPARATING PARTICLES,"Devices for non-invasive, label-free separation of particles in liquid, including circulating tumors cells in blood, are provided. Embodiments of the disclosure provide for devices employing magnetic fluids and magnets for separation of circulating tumor cells from blood. Methods for separation of particles including circulating tumor cells are also provided.",5,4,0.21394716203212738,0.21392720937728882,1.9952654838562012e-05
343,1987,Ferro-fluid bearing,"A bearing having a cylindrical bore and a shaft in the bore with ferrofluid between the shaft and the bore walls. The cylindrical bearing is made of ferromagnetic material, and it is magnetized with its internal magnetization radially directed relative to the axis of the bore. Also pertains to a method for making and magnetizing the bearing.",4,5,0.20160098373889923,0.20157542824745178,2.555549144744873e-05
396,2007,"Magnetic mounting of a rotor shaft relative to a stator, using a high-Tc superconductor","A first bearing part is arranged fixedly in terms of rotation on a rotor shaft with permanent magnetic elements arranged next to one another and flux guide elements arranged between them. A second bearing part, separated from the first bearing part by a bearing gap, is provided on the stator and has a structure formed of superconductive high-T<SUB>c </SUB>material. The bearing gap is sealed against penetration of ambient air, but allows movement of the first bearing part with respect to the second bearing part while maintaining the seal.",4,5,0.20160101354122162,0.20157527923583984,2.5734305381774902e-05
40,1982,Ferrofluid rotary-shaft seal apparatus and method,"A ferrofluid rotary-shaft seal apparatus of extended seal life particularly adapted for use as an exclusion seal with a computer-disc-drive spindle, which seal apparatus comprises: an annular permanent magnet; first and second pole pieces, one end of each pole piece extending into a close, noncontacting relationship with the surface of the shaft, to form a gap width between the one end of the pole piece and the surface of the shaft; and ferrofluid in the gap widths to form a ferrofluid O-ring seal, whereby, in operation, the ferrofluid, under the thinner pole piece, evaporates and forms an air gap, while the ferrofluid at the wider gap width provides extended seal life.",1,3,0.24197010695934296,0.2417629361152649,0.00020717084407806396
322,1992,BEARING FOR USE IN HIGH RESOLUTION PRECISION CONTROL DEVICE,"A magnetic bearing is provided which may be utilized in a fine position control or movement system. Stability is enhanced by providing separate mechanisms for supporting the weight of a platen or other object being controlled with electromagnets utilized to control or compensate for motion of the platen in N degrees of freedom. The support mechanism is preferably one or more permanent magnets having an air gap with the platen which is greater than the air gap for the electromagnets. The mechanisms for supporting the weight of the platen may be made adjustable so as to support the weight of the platen regardless of any changes in such weight by, for example, adjusting the air gap for the permanent magnet to compensate for weight changes. Resonant vibration is reduced by constructing the platen of a hollowed, cellular structure, for example, a honeycomb structure.",2,3,0.22286735475063324,0.2225985825061798,0.0002687722444534302
400,2005,Spinning concentrator enhanced solar energy alternating current production,"Due to an ever growing shortage of conventional energy sources, there is an increasingly intense interest in harnessing solar energy. This invention deals with method and apparatus for the direct conversion of solar energy to alternating current power by an active spinning mini-optics system. A limiting factor in the utilization of solar energy in the past has been the high cost of power conversion from dc to ac. By directly producing alternating current power, this invention substantially reduces the cost of generating photovoltaic electricity. This system utilizes a dynamic spinning ensemble of mini-mirrors to both concentrate and modulate rays from the sun onto a photovoltaic collector array. The focusing with superimposed spinning action produces single phase and multiphase alternating current (ac) with substantially higher power output than the direct current (dc) power resulting from the direct incidence of sunlight on the photovoltaic collector.",2,3,0.22286735475063324,0.2225985825061798,0.0002687722444534302
862,2020,Tracking a cylindrical opening,"A system comprising: a sensor configured to be introduced into a clearance hole of a surgical implant, wherein the sensor is configured to be introduced in proximity to a generated magnetic field and cause distortion of the magnetic field; and one or more field measuring coils configured to: measure a characteristic of the magnetic field when the sensor is in proximity to the magnetic field; and provide, to a computing device, a signal representative of the measured characteristic of the magnetic field, wherein the computing device is configured to determine one or both of a position and an orientation of the sensor and the clearance hole based on the measured characteristic of the magnetic field.",3,5,0.20423513650894165,0.2039114236831665,0.0003237128257751465
867,2020,MAGNETIC SURFACES AND USES THEREOF,"Modified surfaces of the present disclosure include a surface or substrate material, a magnetic field, which may be generated through the use of a magnet placed at a distance beneath the surface or substrate, or placed above the surface or substrate, or through the use of a magnetic surface or substrate, and a magnetic fluid, such as quereferrofluid or ferrogel, deposited in a layer on the top of the surface or substrate. The modified surfaces may be icephobic. In addition, a droplet of liquid placed on the modified surface can be manipulated through placement of a local heat source in proximity to the droplet, without contacting the droplet.",3,5,0.20423513650894165,0.2039114236831665,0.0003237128257751465
518,2002,Magnetically actuated fluid handling devices for microfluidic applications,"Magnetically actuated fluid handling devices using magnetic fluid to move one or more fluids (gases or liquids or both) through microsized flow channels are provided. Fluid handling devices include micropumps and microvalves. Magnetically actuated slugs of magnetic fluid are moved within microchannels of a microfluidic device to facilitate valving and/or pumping of fluids and no separate pump is required. The magnets used to control fluid movement can be either individual magnets moved along the flow channels or one or more arrays of magnets whose elements can be individually controlled to hold or move a magnetic slug. Fluid handling devices include those having an array of electromagnets positioned along a flow channel which are turned on and off in a predetermined pattern to move magnetic fluid slugs in desired paths in the flow channel. The fluid handling devices of the present invention can handle gases and liquids simultaneously and thus can be made to be self-priming. These devices are more resistant to fluctuations in fluid input than other types of micropumps which need to be tuned to pump either liquid or gas. In a particular embodiment, a micropump having a loop channel containing a stationary magnetic slug and one or more moving slugs is provided.",2,3,0.23979975283145905,0.23936383426189423,0.00043591856956481934
409,1996,Centrifugal pump with electromagnetic actuator mechanism,"An electromagnetic seal for a centrifugal pump controls movement of a valve member away from a normally closed position against a sealing surface at the entrance to a reservoir behind the expeller region of the pump, the valve member being controlled by a magnetizable clapper movable within a sealed enclosure toward and away from an electromagnetic coil which may be energized either by the drive motor of the pump or a self-contained generator in the pump driver assembly. Circulation of fluids between the impeller and expeller regions of the pump is enhanced by placement of vents in the impeller and a circumferential groove in the path of flow of fluid through the expeller to create increased turbulence and assist in flushing out foreign particles along with fluid in the expeller region when the pump is in operation. The effectiveness of this combination permits the employment of dry running secondary containment seals which do not require elaborate seal support systems.",2,3,0.23980054259300232,0.2393634170293808,0.000437125563621521
798,2016,METHODS AND SYSTEMS FOR TIME-OF-FLIGHT AFFINITY CYTOMETRY,A device for determining the identity and concentration of target particles within a biocompatible ferrofluid medium is described. The system includes a fluidic channel that a sample of particles flow through; at least one magnetic field source configured to react repulsively with the particles; a channel wall with at least one receptor regions placed serially along the flow direction; and at least one thin electrode placed between the receptor regions to track changes in local impedance every time a target particle passes through the fluidic channel in close proximity.,5,3,0.21787454187870026,0.2173367440700531,0.0005377978086471558
799,2019,Magnetic closures,"A releasable closure having a first structure that encapsulates a magnetic composition based on magnetic particles, such as a smart fluid of the group electrorheological fluid, magnetorheological fluid, ferrofluid, or that is formed of a printable composition with dispersed magnetic particles. The first structure is magnetically attracted and thereby joinable to an opposing, second structure, with the first and second structures forming the releasable closure.",5,3,0.21787454187870026,0.2173367440700531,0.0005377978086471558
264,2006,Device of micro loop thermosyphon for ferrofluid power generator,"The present invention provides a micro loop thermosyphon cooler, having a thermal absorption unit and a condenser sequentially arranged therein, wherein the condenser is arranged at a position higher than that of the thermal absorption unit by a height. The thermal absorption unit further comprises a microchannel system formed by superimposing a cover on a substrate having a plurality of micro-grooves arranged thereon, so that the microchannel system is capable of allowing a fluid with a plurality of magnetic particles to flow in and through. In this regard the thermal absorption unit is used for absorbing thermal energy and thus enabling the fluid to vaporize and generate bubbles accordingly for elevating and driving the remaining fluid to flow into the condenser for discharging heat. Moreover, the condenser is positioned over the thermal absorption unit by a height while coupled to the outlet of the thermal absorption unit by an inlet thereof via a conduit, and coupled to an inlet of the thermal absorption unit by an outlet thereof via another conduit. In this regard, the condenser is capable of condensing the vaporized fluid and remixing the same with unvaporized fluid passing so as to enable the remixed fluid to flow back to the thermal absorption unit by the action of gravity.",2,3,0.22247982025146484,0.22186420857906342,0.0006156116724014282
267,2008,Device of micro loop thermosyphon for ferrofluid power generator,"The present invention provides a micro loop thermosyphon cooler, having a thermal absorption unit and a condenser sequentially arranged therein, wherein the condenser is arranged at a position higher than that of the thermal absorption unit by a height. The thermal absorption unit further comprises a microchannel system formed by superimposing a cover on a substrate having a plurality of micro-grooves arranged thereon, so that the microchannel system is capable of allowing a fluid with a plurality of magnetic particles to flow in and through. In this regard the thermal absorption unit is used for absorbing thermal energy and thus enabling the fluid to vaporize and generate bubbles accordingly for elevating and driving the remaining fluid to flow into the condenser for discharging heat. Moreover, the condenser is positioned over the thermal absorption unit by a height while coupled to the outlet of the thermal absorption unit by an inlet thereof via a conduit, and coupled to an inlet of the thermal absorption unit by an outlet thereof via another conduit. In this regard, the condenser is capable of condensing the vaporized fluid and remixing the same with unvaporized fluid passing so as to enable the remixed fluid to flow back to the thermal absorption unit by the action of gravity.",2,3,0.22247982025146484,0.22186420857906342,0.0006156116724014282
558,2018,WEEPING FERROFLUID ANTI-ICE SYSTEM,"Method, system, and aircraft for providing anti-ice protection comprising a supply of ferrofluid that is flowed out of orifices along a first region of an aerodynamic surface. The flowed ferrofluid is urged toward an aperture on a second region. The aperture is arranged relative to a magnetic field generator. A magnetic field generated by the magnetic field generator attracts the ferrofluid into the aperture while water droplets carried by the ferrofluid continue past the aperture.",2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
559,2016,WEEPING FERROFLUID ANTI-ICE SYSTEM,"Method, system, and aircraft for providing anti-ice protection comprising a supply of ferrofluid that is flowed out of orifices along a first region of an aerodynamic surface. The flowed ferrofluid is urged toward an aperture on a second region. The aperture is arranged relative to a magnetic field generator. A magnetic field generated by the magnetic field generator attracts the ferrofluid into the aperture while water droplets carried by the ferrofluid continue past the aperture.",2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
564,2018,Devices having a volume-displacing ferrofluid piston,"A device for use in compressing or expanding a working fluid, such as a gas, includes a container, a piston, working fluid, ferrofluid, and at least one magnetic component. The piston includes a piston face. The piston face and the container define an interior cavity having a volume that varies in response to movement of the piston relative to the container. The working fluid and the ferrofluid are contained in the interior cavity. The at least one magnetic component has a magnetic field that exerts magnetic forces on the ferrofluid that stabilize the ferrofluid in a subset of the interior cavity. This displaces the working fluid within the interior cavity.",2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
565,2018,Weeping ferrofluid anti-ice system,"Method, system, and aircraft for providing anti-ice protection including a supply of ferrofluid that is flowed out of orifices along a first region of an aerodynamic surface, is provided. The flowed ferrofluid is urged toward an aperture on a second region. The aperture is arranged relative to a magnetic field generator. A magnetic field generated by the magnetic field generator attracts the ferrofluid into the aperture while water droplets carried by the ferrofluid continue past the aperture.",2,5,0.21066904067993164,0.20996099710464478,0.0007080435752868652
1084,2012,"RAPID, SEMI-AUTOMATED METHOD TO DETECT RESPIRATORY VIRUS INFECTED CELLS IN DIRECT SPECIMENS","A novel cytometer system, methods and algorithms which provide a rugged, affordable and easy-to-use device in remote locations. All cells in a biological sample are fluorescently labeled, with target cells also magnetically labeled. Non-magnetically labeled cells are imaged for viability. Labeled sample is placed between two wedge-shaped magnets to selectively move the magnetically labeled cells for observation. A LED illuminates the cells and a CCO camera captures the images of the fluorescent light emitted by the target cells. Image analysis performed with a novel algorithm provides a cell count that can be related to the target cell concentration of the original sample.",1,2,0.2180950790643692,0.21728713810443878,0.0008079409599304199
451,2007,Polymersomes and related encapsulating membranes,"The present invention provides biocompatible vesicles comprising semi-permeable, thin-walled encapsulating membranes which are formed in an aqueous solution, and which comprise one or more synthetic super-amphiphilic molecules. When at least one super-amphiphile molecule is a block copolymer, the resulting synthetic vesicle is termed a ""polymersome."" The synthetic, reactive nature of the amphiphilic composition enables extensive, covalent cross-linking of the membrane, while maintaining semi-permeability. Cross-linking of the polymer building-block components provides mechanical control and long-term stability to the vesicle, thereby also providing a means of controlling the encapsulation or release of materials from the vesicle by modifying the composition of the membrane. Thus, the encapsulating membranes of the present invention are particularly suited for the reliable, durable and controlled transport, delivery and storage of materials.",3,4,0.20806799829006195,0.2072570025920868,0.0008109956979751587
1118,2014,ACTUATING DEVICE HAVING KEYS,"This invention relates to a system for selecting switching steps of a shift-by-wire gear change drive, which features a key arrangement with at least two keys and means for generating electrical signals for transmission to the shift-by-wire gear change drive. This invention specifies an activation control system with which can prevent errors and can lift out a key from a lowered position. The activation control system also features a pressure pad located below the keys.",3,4,0.20806799829006195,0.2072570025920868,0.0008109956979751587
252,2005,Electro-optic assemblies and materials for use therein,"An electro-optic display comprises first and second substrates, and an adhesive layer and a layer of electro-optic material disposed between these substrates, the adhesive layer comprising a mixture of a polymeric adhesive material and an additive selected from a salt, a polyelectrolyte, a polymer electrolyte, a solid electrolyte, a conductive metal powder, a ferrofluid, a non-reactive solvent, a conductive organic compound, and combinations thereof. In one aspect, there is provided an adhesive comprising a mixture of a polymeric adhesive material and an additive selected from a salt, a polyelectrolyte, a polymer electrolyte, a solid electrolyte, and combinations thereof.",5,3,0.20297135412693024,0.20213022828102112,0.0008411258459091187
